"category","popular","genre"
2,-0.948047703510134,-1.06121732988685
2,0.324271427859513,-1.44570515659745
1,-0.129253630797716,2.14138971401045
2,0.327446731076355,-0.251756920538363
2,-0.363547934547723,-0.416473124893743
2,-0.564474674000992,-1.29223277644906
2,-0.514300518591027,-0.638474118681721
2,-0.0856268316382608,-0.203023570011989
2,0.0697632486696084,-0.0534721006439492
2,-0.90852021719303,-1.027856784786
2,0.338711882336284,-0.579875845964832
2,0.0299231248412722,-0.420289182837833
1,-0.857290921636232,0.762783508613966
1,0.545881096734792,1.48405674259811
1,-0.253619133238505,0.815402382141323
1,-0.936147610110891,0.117371631081236
2,-0.43130327877824,-0.00201796140221405
1,-0.396490740800627,0.605652873643052
1,-0.689316189161662,1.91778256600484
1,-0.833370220897436,-0.039180196881453
1,-0.495329057882174,-0.525140932942405
2,-0.498081928446261,-0.740809980058144
1,0.0225601100806215,0.265932200786212
1,-0.332464031130476,0.596768288469919
1,-0.921951023902994,0.00187713189112718
2,-0.448704735938003,-0.609225872679311
2,-0.513969141011143,-1.00273905766961
2,-0.609662175391712,-1.95464201805064
2,-0.958834166279085,-0.882935461378409
1,-0.434165837622608,-0.329870464044027
2,-0.495080918956721,-1.05736336959467
1,-0.41245590633251,-0.00376823346406195
1,-0.78326551017021,1.03236117371305
2,-0.923954348545156,-0.546683791434741
1,-0.36370607726839,0.388937438793734
1,-0.380369377006838,-0.112239416302775
1,-0.305132179736256,0.919457314386482
1,-0.162490709831924,2.34747016847822
1,0.0672229844504081,0.0965597498306074
2,0.422838536742918,-0.150971354730302
2,-0.439750885224037,-0.731604756982446
1,-0.024509739848364,-0.185112677349998
2,-0.0107852975925301,-0.0408504207672572
2,-0.0488559485431895,-1.37911208511101
2,-0.0703888369183432,-0.558870367939892
1,-0.403774216282988,0.682462340000007
2,0.670933836882679,-1.14989190758891
1,-0.352127866125384,0.749826817504466
1,-0.68297638027894,1.41143466469146
1,-0.879881167422694,-0.414534191461568
2,0.414445501296153,-0.717150764356244
2,-0.171542189875073,-1.60641056863882
2,-0.394341404702747,-0.1843880152553
1,-0.750947892171901,0.30393446940558
2,-0.0337905124230149,-0.699023511151135
2,-0.416535475300644,-0.603564246230969
1,0.0446894383051928,0.669906033185893
2,-0.955904276754204,-1.90791661955694
2,-0.355516571404413,-0.00905593748921504
2,-0.877867794158616,-0.50136061805168
1,-0.726769752669809,1.9362505842479
1,-0.33478931321244,0.0310904017633355
2,-0.387753697175378,-0.131763907039658
2,-0.441053476141066,-0.659853008330455
1,0.113702975378513,1.94372382301969
1,-0.0445772465166063,0.189362282879004
1,0.114781320687333,0.787993755411002
2,-0.380526857674629,-0.543634322634315
2,-0.607354695059517,-1.75286477425854
1,-0.0326709196245097,0.47039959539367
2,-0.394433094454861,-0.750435388528244
1,-0.780983714441213,0.282517968695027
1,-0.895769919939377,-0.58793875257675
2,0.466742198059021,-0.0532879549862997
1,-0.40291324085944,-0.139620958540301
1,-0.799632294595978,1.03690609511633
1,-0.849509339539248,-0.0236787603292794
1,0.0208883335704413,0.0126155600099755
1,-0.915852243357073,-0.286414494938457
2,-0.576713158588908,-1.18906265236055
1,-0.33931137799757,0.132024438623135
1,-0.492975298523584,-0.11597413097966
2,-0.105486945498471,-0.868698645754519
2,-0.555426510892861,-1.34411275523797
1,-0.897985799423198,0.463979023687103
1,-0.477972941526399,-0.117367333474579
2,-0.416724573300737,-0.831351611345713
1,-0.398320923156825,0.305545757710744
2,-0.504150239912321,-0.740246442830224
2,0.454243703155566,-0.0625417875379391
2,-0.886415970764187,-1.0559576074226
2,0.264235145439702,-1.04812924665019
2,-0.610792668694057,-1.52008559727078
1,0.0177712517624116,0.266376920863063
2,0.298653924478309,-1.50848027925521
2,-0.168714993302914,-1.17083372547212
2,0.0119042258024994,-0.323250772434721
2,0.437877133317435,-0.340441040796078
2,-0.511620623667519,-1.01682044898972
